night_id,date,reading_timestamp,temperature,humidity,sound_level,motion_detected
1,2025-11-23,2025-11-23 00:00:00,16.73,59.48,48.36,0
1,2025-11-23,2025-11-23 00:05:00,18.43,57.11,49.67,0
1,2025-11-23,2025-11-23 00:10:00,17.16,55.75,33.9,0
1,2025-11-23,2025-11-23 00:15:00,18.38,55.48,48.53,0
1,2025-11-23,2025-11-23 00:20:00,17.06,52.1,43.81,0
1,2025-11-23,2025-11-23 00:25:00,18.1,56.89,47.51,0
1,2025-11-23,2025-11-23 00:30:00,17.14,61.36,48.41,0
1,2025-11-23,2025-11-23 00:35:00,17.11,58.48,41.67,0
1,2025-11-23,2025-11-23 00:40:00,17.44,59.69,40.63,0
1,2025-11-23,2025-11-23 00:45:00,18.5,54.54,47.94,1
1,2025-11-23,2025-11-23 00:50:00,17.8,61.17,41.91,0
1,2025-11-23,2025-11-23 00:55:00,16.36,57.14,52.25,0
1,2025-11-23,2025-11-23 01:00:00,16.72,58.92,49.87,0
1,2025-11-23,2025-11-23 01:05:00,18.33,56.0,45.41,1
1,2025-11-23,2025-11-23 01:10:00,16.42,61.82,46.07,0
1,2025-11-23,2025-11-23 01:15:00,17.29,60.96,53.74,1
1,2025-11-23,2025-11-23 01:20:00,16.79,58.29,51.82,0
1,2025-11-23,2025-11-23 01:25:00,18.26,58.41,54.78,0
1,2025-11-23,2025-11-23 01:30:00,17.3,58.34,39.87,0
1,2025-11-23,2025-11-23 01:35:00,18.46,57.86,48.75,0
1,2025-11-23,2025-11-23 01:40:00,16.99,60.75,45.9,0
1,2025-11-23,2025-11-23 01:45:00,17.28,61.27,48.6,0
1,2025-11-23,2025-11-23 01:50:00,18.72,59.05,45.41,0
1,2025-11-23,2025-11-23 01:55:00,18.16,57.35,39.64,0
1,2025-11-23,2025-11-23 02:00:00,15.5,59.56,44.98,0
1,2025-11-23,2025-11-23 02:05:00,17.39,58.04,48.98,0
1,2025-11-23,2025-11-23 02:10:00,16.87,62.73,46.87,0
1,2025-11-23,2025-11-23 02:15:00,16.28,58.7,59.28,0
1,2025-11-23,2025-11-23 02:20:00,18.0,57.74,44.09,0
1,2025-11-23,2025-11-23 02:25:00,17.28,61.95,50.72,0
1,2025-11-23,2025-11-23 02:30:00,16.98,62.67,53.99,0
1,2025-11-23,2025-11-23 02:35:00,18.74,55.55,44.13,0
1,2025-11-23,2025-11-23 02:40:00,18.99,61.14,47.01,0
1,2025-11-23,2025-11-23 02:45:00,17.33,55.33,49.33,0
1,2025-11-23,2025-11-23 02:50:00,18.12,58.04,45.02,0
1,2025-11-23,2025-11-23 02:55:00,16.91,60.96,40.81,0
1,2025-11-23,2025-11-23 03:00:00,18.71,66.14,45.34,1
1,2025-11-23,2025-11-23 03:05:00,17.46,59.3,50.87,0
1,2025-11-23,2025-11-23 03:10:00,18.66,55.92,50.05,0
1,2025-11-23,2025-11-23 03:15:00,18.6,59.4,43.39,0
1,2025-11-23,2025-11-23 03:20:00,17.76,54.87,52.21,0
1,2025-11-23,2025-11-23 03:25:00,18.68,55.6,50.9,0
1,2025-11-23,2025-11-23 03:30:00,18.24,62.33,49.08,0
1,2025-11-23,2025-11-23 03:35:00,18.37,57.79,43.19,0
1,2025-11-23,2025-11-23 03:40:00,18.32,57.8,53.01,0
1,2025-11-23,2025-11-23 03:45:00,18.05,57.73,60.56,0
1,2025-11-23,2025-11-23 03:50:00,16.85,61.45,47.17,0
1,2025-11-23,2025-11-23 03:55:00,17.51,57.85,50.53,0
1,2025-11-23,2025-11-23 04:00:00,17.52,60.74,44.7,0
1,2025-11-23,2025-11-23 04:05:00,18.24,57.18,51.24,0
1,2025-11-23,2025-11-23 04:10:00,18.19,58.8,50.11,0
1,2025-11-23,2025-11-23 04:15:00,19.03,58.7,41.24,1
1,2025-11-23,2025-11-23 04:20:00,18.32,61.72,42.16,0
1,2025-11-23,2025-11-23 04:25:00,18.73,60.07,49.53,1
1,2025-11-23,2025-11-23 04:30:00,17.64,61.14,54.15,0
1,2025-11-23,2025-11-23 04:35:00,17.63,61.38,50.22,1
1,2025-11-23,2025-11-23 04:40:00,16.7,54.02,47.78,0
1,2025-11-23,2025-11-23 04:45:00,16.94,65.47,37.62,0
1,2025-11-23,2025-11-23 04:50:00,17.29,58.76,42.49,0
1,2025-11-23,2025-11-23 04:55:00,17.35,56.38,50.36,0
1,2025-11-23,2025-11-23 05:00:00,19.53,64.05,53.78,1
1,2025-11-23,2025-11-23 05:05:00,18.28,52.45,47.89,0
1,2025-11-23,2025-11-23 05:10:00,17.27,53.51,43.1,0
1,2025-11-23,2025-11-23 05:15:00,18.95,57.1,43.69,0
1,2025-11-23,2025-11-23 05:20:00,18.38,62.32,48.85,0
1,2025-11-23,2025-11-23 05:25:00,18.94,53.96,44.54,0
1,2025-11-23,2025-11-23 05:30:00,17.43,64.14,46.86,0
1,2025-11-23,2025-11-23 05:35:00,16.88,57.76,40.72,0
1,2025-11-23,2025-11-23 05:40:00,18.86,62.49,46.32,0
1,2025-11-23,2025-11-23 05:45:00,17.25,62.01,47.01,0
1,2025-11-23,2025-11-23 05:50:00,17.46,58.7,50.2,0
1,2025-11-23,2025-11-23 05:55:00,17.72,63.28,40.77,0
1,2025-11-23,2025-11-23 06:00:00,18.17,58.73,49.16,1
1,2025-11-23,2025-11-23 06:05:00,17.53,59.36,43.85,0
1,2025-11-23,2025-11-23 06:10:00,18.33,57.13,43.85,0
1,2025-11-23,2025-11-23 06:15:00,17.34,61.22,48.5,0
1,2025-11-23,2025-11-23 06:20:00,17.12,61.15,49.72,0
1,2025-11-23,2025-11-23 06:25:00,17.05,58.46,47.55,0
1,2025-11-23,2025-11-23 06:30:00,17.09,62.01,54.72,0
1,2025-11-23,2025-11-23 06:35:00,17.27,62.44,47.06,0
1,2025-11-23,2025-11-23 06:40:00,17.43,61.08,45.6,1
1,2025-11-23,2025-11-23 06:45:00,17.13,58.81,49.94,0
1,2025-11-23,2025-11-23 06:50:00,16.19,57.18,52.98,0
1,2025-11-23,2025-11-23 06:55:00,16.66,60.39,50.1,0
1,2025-11-23,2025-11-23 07:00:00,17.06,58.49,36.51,1
1,2025-11-23,2025-11-23 07:05:00,19.04,56.04,45.35,0
1,2025-11-23,2025-11-23 07:10:00,18.11,62.6,44.79,0
1,2025-11-23,2025-11-23 07:15:00,17.78,57.11,48.12,0
1,2025-11-23,2025-11-23 07:20:00,18.55,57.09,43.64,0
1,2025-11-23,2025-11-23 07:25:00,18.71,59.45,54.34,0
1,2025-11-23,2025-11-23 07:30:00,17.38,58.51,43.55,0
1,2025-11-23,2025-11-23 07:35:00,17.58,59.49,42.82,0
1,2025-11-23,2025-11-23 07:40:00,18.02,58.79,39.73,1
1,2025-11-23,2025-11-23 07:45:00,16.95,59.19,47.02,0
1,2025-11-23,2025-11-23 07:50:00,18.0,58.68,58.34,0
1,2025-11-23,2025-11-23 07:55:00,17.95,64.98,43.12,0
1,2025-11-23,2025-11-23 08:00:00,17.53,61.45,39.7,0
1,2025-11-23,2025-11-23 08:05:00,18.25,52.15,44.33,0
1,2025-11-23,2025-11-23 08:10:00,16.09,59.61,49.82,0
1,2025-11-23,2025-11-23 08:15:00,18.4,54.56,56.12,1
2,2025-11-24,2025-11-24 00:00:00,22.01,29.95,17.23,1
2,2025-11-24,2025-11-24 00:05:00,22.15,32.18,27.18,0
2,2025-11-24,2025-11-24 00:10:00,19.79,29.56,25.82,0
2,2025-11-24,2025-11-24 00:15:00,21.1,30.42,17.8,0
2,2025-11-24,2025-11-24 00:20:00,21.16,32.9,29.35,0
2,2025-11-24,2025-11-24 00:25:00,20.16,28.87,24.27,0
2,2025-11-24,2025-11-24 00:30:00,22.3,31.7,31.69,0
2,2025-11-24,2025-11-24 00:35:00,21.12,34.44,26.62,0
2,2025-11-24,2025-11-24 00:40:00,21.58,35.46,20.97,0
2,2025-11-24,2025-11-24 00:45:00,21.61,26.16,33.01,0
2,2025-11-24,2025-11-24 00:50:00,20.85,33.51,33.3,0
2,2025-11-24,2025-11-24 00:55:00,21.12,34.3,27.44,1
2,2025-11-24,2025-11-24 01:00:00,19.7,31.19,27.71,0
2,2025-11-24,2025-11-24 01:05:00,21.04,34.72,18.59,0
2,2025-11-24,2025-11-24 01:10:00,21.36,28.54,23.22,1
2,2025-11-24,2025-11-24 01:15:00,20.22,37.52,24.19,0
2,2025-11-24,2025-11-24 01:20:00,20.64,28.98,25.26,0
2,2025-11-24,2025-11-24 01:25:00,20.23,31.53,14.38,0
2,2025-11-24,2025-11-24 01:30:00,20.5,32.0,25.23,0
2,2025-11-24,2025-11-24 01:35:00,20.89,29.15,28.69,0
2,2025-11-24,2025-11-24 01:40:00,20.84,24.45,18.22,0
2,2025-11-24,2025-11-24 01:45:00,22.16,33.91,20.85,1
2,2025-11-24,2025-11-24 01:50:00,23.53,34.72,25.15,0
2,2025-11-24,2025-11-24 01:55:00,20.3,28.93,21.27,0
2,2025-11-24,2025-11-24 02:00:00,20.55,28.11,34.23,0
2,2025-11-24,2025-11-24 02:05:00,21.77,28.73,25.77,0
2,2025-11-24,2025-11-24 02:10:00,22.28,32.97,20.6,0
2,2025-11-24,2025-11-24 02:15:00,20.91,35.54,19.24,0
2,2025-11-24,2025-11-24 02:20:00,19.94,33.05,22.54,0
2,2025-11-24,2025-11-24 02:25:00,20.67,28.87,23.07,1
2,2025-11-24,2025-11-24 02:30:00,21.1,28.86,27.14,0
2,2025-11-24,2025-11-24 02:35:00,21.02,32.53,25.37,1
2,2025-11-24,2025-11-24 02:40:00,20.6,33.62,28.3,1
2,2025-11-24,2025-11-24 02:45:00,20.28,37.49,33.89,0
2,2025-11-24,2025-11-24 02:50:00,20.53,33.07,21.97,0
2,2025-11-24,2025-11-24 02:55:00,19.62,29.98,24.26,0
2,2025-11-24,2025-11-24 03:00:00,21.57,26.37,25.46,0
2,2025-11-24,2025-11-24 03:05:00,20.09,30.91,23.75,0
2,2025-11-24,2025-11-24 03:10:00,21.87,29.63,29.97,0
2,2025-11-24,2025-11-24 03:15:00,20.16,29.19,37.96,0
2,2025-11-24,2025-11-24 03:20:00,21.52,30.75,27.65,1
2,2025-11-24,2025-11-24 03:25:00,20.58,32.82,33.69,0
2,2025-11-24,2025-11-24 03:30:00,21.33,30.12,23.35,0
2,2025-11-24,2025-11-24 03:35:00,20.72,32.99,30.97,0
2,2025-11-24,2025-11-24 03:40:00,21.76,30.38,31.8,0
2,2025-11-24,2025-11-24 03:45:00,20.74,29.33,14.64,0
2,2025-11-24,2025-11-24 03:50:00,21.08,36.39,27.43,0
2,2025-11-24,2025-11-24 03:55:00,20.89,34.03,26.27,0
2,2025-11-24,2025-11-24 04:00:00,19.88,34.79,27.48,0
2,2025-11-24,2025-11-24 04:05:00,20.73,34.25,26.2,0
2,2025-11-24,2025-11-24 04:10:00,20.69,28.81,29.94,0
2,2025-11-24,2025-11-24 04:15:00,20.38,35.89,27.8,1
2,2025-11-24,2025-11-24 04:20:00,21.89,29.83,24.44,0
2,2025-11-24,2025-11-24 04:25:00,20.28,30.07,23.03,0
2,2025-11-24,2025-11-24 04:30:00,21.76,35.42,27.86,0
2,2025-11-24,2025-11-24 04:35:00,22.56,28.18,23.23,1
2,2025-11-24,2025-11-24 04:40:00,19.64,35.84,29.06,0
2,2025-11-24,2025-11-24 04:45:00,21.02,31.9,39.01,0
2,2025-11-24,2025-11-24 04:50:00,21.15,33.53,28.2,0
2,2025-11-24,2025-11-24 04:55:00,21.24,32.11,20.09,0
2,2025-11-24,2025-11-24 05:00:00,22.34,29.82,20.84,1
2,2025-11-24,2025-11-24 05:05:00,20.96,38.97,28.41,0
2,2025-11-24,2025-11-24 05:10:00,20.94,30.08,20.73,0
2,2025-11-24,2025-11-24 05:15:00,19.74,30.67,28.93,0
2,2025-11-24,2025-11-24 05:20:00,20.79,36.36,24.49,0
2,2025-11-24,2025-11-24 05:25:00,19.86,31.34,19.2,0
2,2025-11-24,2025-11-24 05:30:00,20.88,33.45,35.04,0
2,2025-11-24,2025-11-24 05:35:00,21.96,28.3,28.37,1
2,2025-11-24,2025-11-24 05:40:00,20.85,28.04,38.66,0
2,2025-11-24,2025-11-24 05:45:00,21.11,29.01,29.16,1
